Direction,District,Elevator,Floor,Id,Layout,Price,Region,Renovation,Size,Year
,中德,有,低楼层 (共33层),106100481184,4室2厅,295,南,其他,88.35㎡,2015年建
,新会展,有,高楼层 (共36层),106100216549,3室1厅,380,东,其他,128.69㎡,2015年建
,三官堂,有,中楼层 (共33层),106101452995,3室2厅,346,东 西,精装,134.17㎡,2009年建
,大源,有,高楼层 (共32层),106100351509,3室2厅,438,西,其他,134.88㎡,2013年建
,宽窄巷子,有,中楼层 (共18层),106101412255,3室2厅,250,东 西,精装,134.02㎡,2000年建
,万年场,有,低楼层 (共28层),106101409898,2室2厅,148,南,精装,83.6㎡,2010年建
,SM广场,无,中楼层 (共6层),106101409467,2室1厅,120,南,其他,75.23㎡,2003年建
,金融城,有,低楼层 (共24层),106101389690,4室2厅,586,南 北,其他,177.78㎡,2012年建
,南湖,有,中楼层 (共29层),106101388039,3室2厅,175,西南 东北,其他,116.63㎡,2011年建
,五大花园,无,低楼层 (共7层),106101324652,2室2厅,102,东,精装,82.76㎡,1999年建
,国宾,有,低楼层 (共18层),106101274514,3室2厅,178,东南,其他,85.92㎡,2012年建
,国色天乡,有,低楼层 (共26层),106101241345,3室2厅,145,东南,其他,134.26㎡,2012年建
,卓锦城,有,低楼层 (共32层),106101219348,2室2厅,180,东南,精装,89.35㎡,2010年建
,SM广场,有,中楼层 (共34层),106101461477,3室1厅,220,南,精装,94.78㎡,2011年建
,万年场,无,中楼层 (共6层),106101101563,2室1厅,93,南,简装,63.85㎡,2005年建
,市一医院,有,中楼层 (共23层),106101235165,2室2厅,245,北,简装,117.78㎡,2013年建
,红牌楼,有,低楼层 (共12层),106101300320,2室2厅,155,东南,简装,84.7㎡,2011年建
,新双楠,有,高楼层 (共11层),106101676949,3室2厅,320,西北,其他,136㎡,2011年建
,新华公园,暂无数据,低楼层 (共7层),106101666598,2室1厅,80,南,其他,63.77㎡,未知年建
,五块石,有,中楼层 (共18层),106101663300,3室1厅,158,东南,其他,119.84㎡,2008年建
,橡树湾,有,中楼层 (共19层),106101644266,3室1厅,150,西北,其他,122.19㎡,2016年建
,光华泡小,有,中楼层 (共18层),106101601790,2室1厅,192,北,其他,87.54㎡,2007年建
,郫县万达,有,高楼层 (共31层),106101607291,2室1厅,72,东南,精装,75㎡,2012年建
,高家庄,有,高楼层 (共18层),106101640850,3室1厅,170,东南,精装,124㎡,2009年建
,金牛万达,有,高楼层 (共33层),106101591458,2室2厅,132,西南 东北,其他,67.49㎡,2013年建
,大面,有,高楼层 (共39层),106101599471,2室1厅,113,南,其他,77.51㎡,2015年建
,龙泉驿城区,有,高楼层 (共27层),106101589476,2室1厅,155,南,其他,91.83㎡,2015年建
,东郊记忆,有,高楼层 (共33层),106101588522,3室2厅,156,东南,精装,90.07㎡,2009年建
,沙湾,有,高楼层 (共13层),106101581274,1室0厅,54,南,其他,44.21㎡,2005年建
,大面,有,高楼层 (共34层),106101577231,2室1厅,77,北,其他,61.47㎡,2012年建
,外光华,有,低楼层 (共19层),106101574517,2室2厅,155,北,简装,79.48㎡,2012年建
,草市街,暂无数据,中楼层 (共7层),106101569042,2室1厅,116.5,东,其他,64.82㎡,2005年建
,马鞍路,有,高楼层 (共20层),106101558577,2室2厅,125,东,其他,90.52㎡,2000年建
,金牛万达,有,高楼层 (共18层),106101490173,2室2厅,128,东,其他,92.67㎡,2008年建
,府南新区,无,低楼层 (共7层),106101487803,2室2厅,118,南,其他,88.69㎡,2001年建
,航天,有,高楼层 (共18层),106101477103,2室2厅,98,南,简装,91.93㎡,2013年建
,外金沙,有,中楼层 (共18层),106101472584,2室2厅,170,西南,其他,87.45㎡,2012年建
,大丰,暂无数据,中楼层 (共34层),106101462705,2室1厅,99,南,其他,75.07㎡,2013年建
,市一医院,有,中楼层 (共18层),106101458709,2室2厅,180,东南,简装,89.49㎡,2010年建
,龙泉驿城区,有,高楼层 (共34层),106101459325,4室2厅,158,东 西,其他,120.66㎡,2013年建
,五大花园,无,低楼层 (共6层),106101454974,3室2厅,170,南,简装,110.89㎡,2003年建
,东苑,有,低楼层 (共19层),106101452639,1室1厅,79,南,简装,72.44㎡,2007年建
,温江新城,有,中楼层 (共32层),106101452003,4室2厅,175,东北,其他,114.63㎡,2016年建
,金牛万达,有,高楼层 (共23层),106101168891,3室2厅,200,南 北,精装,125.3㎡,2007年建
,保利公园,有,低楼层 (共18层),106101448486,3室2厅,136,东北,其他,111.81㎡,2012年建
,新都城区,有,中楼层 (共31层),106101189920,2室2厅,91,南,其他,80.09㎡,2013年建
,动物园,有,中楼层 (共18层),106101154181,2室2厅,110,西,精装,71.93㎡,2008年建
